date,prev_date,window,portfolio_value,realized_pnl_total,VaR_0.990_total,exception_total,realized_pnl_bonds,VaR_0.990_bonds,exception_bonds,realized_pnl_equities,VaR_0.990_equities,exception_equities,realized_pnl_fx,VaR_0.990_fx,exception_fx
2025-05-20,2025-05-19,500,246213314.97899505,474525.7476414086,6087702.252052946,False,-59526.45086032931,461077.7449608982,False,-44435.12688603546,297074.0577570447,False,578487.3253877733,6290550.388362263,False
2025-05-21,2025-05-20,500,246152158.27941382,-873322.5578815128,6088029.993552503,False,-64779.81968789664,459591.5499671795,False,-77755.99326531785,297074.0577570447,False,-730786.7449282983,6290550.388362263,False
2025-05-22,2025-05-21,500,245778789.91012776,741624.1182924253,6087877.631144127,False,128743.67917666632,459308.5328877817,False,-176176.25701088802,297074.0577570447,False,789056.696126647,6290550.388362263,False
2025-05-23,2025-05-22,500,245879424.45134908,-1296873.3310113873,6087939.075808669,False,-31938.564327190303,460431.95327297796,False,-39943.7423416666,297074.0577570447,False,-1224991.0243425304,6290550.388362263,False
2025-05-26,2025-05-23,500,245916911.1196317,-399203.38177479664,6087582.283236751,False,-121991.494363117,461059.86725421617,False,-277211.88741167967,297074.0577570447,False,0.0,6290550.388362264,False
2025-05-27,2025-05-26,500,245778373.42743415,270122.2083251643,6089186.832500679,False,1948.8258378930823,456723.39230887475,False,71935.37920904899,297074.0577570447,False,196238.00327822223,6290550.388362264,False
2025-05-28,2025-05-27,500,245790430.72114396,1133082.576086963,6089311.840342073,False,347525.66482813674,456548.50498373504,False,354988.3338851499,297074.0577570447,False,430568.5773736766,6290550.388362263,False
2025-05-29,2025-05-28,500,245729604.26547676,-746763.9332188817,6088759.882815971,False,15178.817931595171,460996.51692615205,False,-123807.01123905367,297074.0577570447,False,-638135.7399114232,6290550.388362263,False
2025-05-30,2025-05-29,500,245825170.5413497,-2557512.2405694257,6087597.532815063,False,247073.22003618628,463331.7480103755,False,122596.84229067464,297074.0577570447,False,-2927182.302896287,6290550.388362263,False
2025-06-02,2025-05-30,500,246082193.42439914,205030.01378390595,6086267.6380695,False,139190.13514218706,468223.618125962,False,65839.87864171887,297074.0577570447,False,0.0,6290550.388362263,False
2025-06-03,2025-06-02,500,246250606.38304496,2808047.0235127173,6085720.4968929,False,266485.83372781787,470567.8585770158,False,130629.43769244106,297074.0577570447,False,2410931.7520924583,6290550.388362263,False
2025-06-04,2025-06-03,500,246489819.32458,-755052.0249300797,6084786.088303003,False,139840.6610926156,474786.7550770661,False,-50879.754864055074,297074.0577570447,False,-844012.9311586402,6290550.388362264,False
2025-06-05,2025-06-04,500,246314596.51164937,-955839.710197161,6083685.438997295,False,74502.68032224585,478308.6780715055,False,101445.51721908042,297074.0577570447,False,-1131787.9077384872,6290550.388362263,False
2025-06-06,2025-06-05,500,246387064.2007088,1740578.7402641028,6083655.040166977,False,-324995.2208753302,479230.8056073973,False,-244795.33260137535,297074.0577570446,False,2310369.2937408085,6290550.388362264,False
2025-06-09,2025-06-06,500,246122611.16739863,-68266.08285934139,6085306.950819292,False,63830.945367382126,473431.6943552242,False,-132097.02822672352,297074.0577570447,False,0.0,6290550.388362263,False
2025-06-10,2025-06-09,500,246251938.69679672,-228980.63036657215,6084565.964012536,False,230522.52508064953,475437.9086190309,False,-166277.13542063147,297074.0577570447,False,-293226.0200265902,6290550.388362263,False
2025-06-11,2025-06-10,500,246459843.68977332,-1306659.5172212536,6083713.547909137,False,-25874.64616996726,479084.3199128152,False,55189.652434686905,297074.0577570446,False,-1335974.5234859732,6290550.388362263,False
2025-06-13,2025-06-11,500,246540191.95133054,370186.4732709023,6083217.547649484,False,259117.77278434785,480521.908418779,False,111068.70048655447,297074.0577570446,False,0.0,6290550.388362264,False
2025-06-16,2025-06-13,500,246694373.48669067,-461978.529661528,6083189.641899279,False,-403432.7474412089,482420.06082699524,False,-58545.782220319095,297074.0577570447,False,0.0,6290550.388362264,False
2025-06-17,2025-06-16,500,246485072.9484045,1366783.3623566097,6084333.31386167,False,-7724.807518422947,477482.81104186707,False,210623.75233963667,297074.0577570446,False,1163884.417535396,6290550.388362264,False
2025-06-18,2025-06-17,500,246444761.76264876,176371.23472991242,6084506.022983444,False,157261.00610928936,476497.94399844395,False,-36486.125025413545,297074.0577570447,False,55596.353646036616,6290550.388362264,False
2025-06-19,2025-06-18,500,246622341.27045473,-335932.95867136057,6084068.338047422,False,166794.47873646155,479241.9892403587,False,-16798.987971057886,297074.0577570446,False,-485928.44943676423,6290550.388362263,False
2025-06-20,2025-06-19,500,246804993.56657666,-888332.7617405775,6083086.232364283,False,42716.863574836454,482717.7408088432,False,-112545.73053654846,297074.0577570447,False,-818503.8947788655,6290550.388362263,False
2025-06-23,2025-06-20,500,246834641.35971856,-170640.86652208574,6083092.501578984,False,-103207.75089719064,482897.9090919343,False,-67433.11562489509,297074.0577570446,False,0.0,6290550.388362264,False
2025-06-24,2025-06-23,500,246825765.8314031,-147324.01395721245,6084121.496764364,False,9819.480939509049,481000.62674327526,False,86092.51570745811,297074.0577570446,False,-243236.0106041796,6290550.388362264,False
2025-06-25,2025-06-24,500,246847667.94268608,2595190.4748491324,6084250.983260302,False,230632.42409328156,480976.0578814087,False,127895.54848305197,297074.0577570447,False,2236662.5022727987,6290550.388362263,False
2025-06-26,2025-06-25,500,247078250.95405096,-777559.6750416502,6083203.786458151,False,186659.0131723876,485173.08834972227,False,20459.633763092515,297074.0577570447,False,-984678.3219771303,6290550.388362264,False
2025-06-27,2025-06-26,500,247202381.05832765,914517.6778710908,6083016.066331405,False,165187.2505278686,486960.3943341363,False,69998.18946170426,297074.0577570447,False,679332.237881518,6290550.388362263,False
2025-06-30,2025-06-27,500,247406378.8743161,262494.14208968106,6082114.770689348,False,192286.01866972668,490616.1532759701,False,70208.12341995438,297074.0577570447,False,0.0,6290550.388362263,False
2025-07-01,2025-06-30,500,247631467.24969724,1093518.0968380664,6081146.606270847,False,-12336.47274091254,494234.01690682344,False,38589.58435210427,297074.0577570447,False,1067264.9852268747,6290550.388362263,False
2025-07-02,2025-07-01,500,247628625.8225066,347217.1300820059,6081341.2713623615,False,33255.45624022539,493749.51238285436,False,-62339.60639195771,297074.0577570446,False,376301.28023373825,6290550.388362263,False
2025-07-03,2025-07-02,500,247740840.0661718,114684.26718522968,6080865.713133802,False,-2357.906059199877,495639.71827915387,False,-111970.65824939712,297074.0577570447,False,229012.83149382667,6290550.388362263,False
2025-07-04,2025-07-03,500,247734773.78024447,593276.3927925684,6081201.329089854,False,-37317.51695561116,494964.3737713106,False,-19421.66224798444,297074.0577570447,False,650015.571996164,6290550.388362263,False
2025-07-07,2025-07-04,500,247723121.71194416,-274536.6834901651,6081231.921875548,False,-14355.278818164834,494515.5182380849,False,-260181.40467200027,297074.0577570447,False,0.0,6290550.388362263,False
2025-07-08,2025-07-07,500,247738421.62759918,-985851.080340836,6081801.781518472,False,-1279.3788712906462,493416.38690222165,False,-135992.61920843477,297074.0577570447,False,-848579.0822611105,6290550.388362263,False
2025-07-09,2025-07-08,500,247761242.4506768,-1379577.9114227884,6081774.426195824,False,-166139.84459216456,493522.1037290191,False,-30562.58402371584,297074.0577570447,False,-1182875.482806908,6290550.388362263,False
2025-07-10,2025-07-09,500,247596621.91958976,-375824.14742314164,6082807.134528512,False,152413.34925803472,489832.87912463077,False,63178.35889060594,297074.0577570447,False,-591415.8555717823,6290550.388362264,False
2025-07-11,2025-07-10,500,247760770.54932022,-602186.895142107,6082161.117525332,False,-43630.398304558184,492661.3380412827,False,-302793.4185824032,297074.0577570447,True,-255763.07825514558,6290550.388362263,False
2025-07-14,2025-07-11,500,247738736.88156557,469374.4977464267,6082307.557331376,False,91487.98106282696,491913.85256050475,False,377886.5166835998,302851.96340259985,False,0.0,6290550.388362263,False
2025-07-15,2025-07-14,500,247875677.34879553,1322383.9010424158,6081981.367097036,False,331099.1592790208,493504.4595462864,False,88756.23011818648,302851.96340259985,False,902528.5116452086,6290550.388362263,False
2025-07-16,2025-07-15,500,248229895.32426798,-929941.5632089579,6079944.670055856,False,194551.1420462856,500575.64714629896,False,79837.45876440257,302851.96340259985,False,-1204330.1640196461,6290550.388362264,False
2025-07-17,2025-07-16,500,248455360.77048576,-643674.2603871888,6079344.954602779,False,46297.54324695114,504265.62714775413,False,-43276.21709778424,302851.96340259985,False,-646695.5865363557,6290550.388362263,False
2025-07-18,2025-07-17,500,248539260.22095877,1054350.32461595,6079102.1178336525,False,123233.64957257583,505504.3749426891,False,189184.79414927092,302851.96340259985,False,741931.8808941032,6290550.388362263,False
2025-07-21,2025-07-18,500,248674797.12706745,165296.3868122188,6078644.099828157,False,57914.49983881875,507703.76361871697,False,107381.88697340008,302851.96340259985,False,0.0,6290550.388362264,False
2025-07-22,2025-07-21,500,248749899.9669236,803765.0492044379,6078571.467657467,False,-33252.096681043215,508106.36963836645,False,59643.64238776037,302851.96340259985,False,777373.5034977207,6290550.388362264,False
2025-07-23,2025-07-22,500,248689082.7297994,46270.40403408131,6078945.964855532,False,70352.60095366312,506530.40913536254,False,-7615.537604731234,302851.96340259985,False,-16466.659314850578,6290550.388362263,False
